Title,Review,Rating,Have assessablity Issue,Assessability Issue Type
does not uphold its community guidelines,"Itâ€™s rules clearly state not to disrespect idols however the app itself takes no action to uphold these rules. A countless number of profiles that continually insult, ridicule, spread malicious rumors and even threaten and leak private information of idols are still allowed to still post. One such profile that has done such acts even was allowed to take part of a specula chatting event with an idol. Why should fans pay for something that continuously allows their idols to be ridiculed and threatened on a platform without retaliation or consequences for breaking the community guidelines.",1,Yes,Navigation and Interaction Problems (NAV)
LYSN bubble deceives consumers,"Lysn bubble automatically charged me 3.99 USD every months since September 2021, however I havenâ€™t gotten any bubble messages from SM artist Lucas Wong since then. There are also no words regarding when he will return. Why this app keeps charging me ?
 
 Whatâ€™s more, Racism, Abuse, Harassment are seen on WayV community page while LYSN & SM entertainment let it all happen. This app was supposed to be a place to communicate with idols and fans, but it's been misused by some against Lucas of WayV",1,No,Non-Accessibility Issues (NO)
PLEASE DO NOT DOWNLOAD THIS APP,"I downloaded this app thinking it was going to be a normal app, an hour passes and I didnâ€™t really know how to use this app so I deleted without realizing I didnâ€™t logged out of the account, a year has gone by and I received an email saying if I give them my personal information and address and stuff, theyâ€™ll hack me, so now Iâ€™m writing this to warn people to NEVER DOWNLOAD THIS APP THINKING YOUR ACTUALLY TEXTING THE FAMOUS PERSON, IN REALITY YOUR TEXTING SOMEONE THAT ISNT THEM, PLEASE DONT DOWNLOAD!!! I WISH THIS APP NEVER EXISTED!!",1,No,Non-Accessibility Issues (NO)
Toxic & unsafe environment,"This app continues to allow targeted harassment & bullying. It hosts a toxic & unsafe environment, without any consequences or actions to correct said behavior. It continues to allow users who engage in such behavior to use its platform & there are no signs of it getting any better. Aside from this, I can never get the app to open & stay open. Itâ€™s so slow. It always times out & I'm never able to send any comments or posts in. Absolutely do not recommend the use of Lysn.",1,No,Non-Accessibility Issues (NO)
Not sticking to community guidelines,We have collectively reported posts on lysn from ace members who threatened the life of one of the artists and spread malicious rumors and his/his familyâ€™s private information. We kept reporting and emailing the company for weeks but no reponse. The same ace members who violated community guidelines are being rewarded instead of having their privileges revoked which the app has the right to do legally according to the terms and conditions we as ace members sign prior to getting the membership.,1,No,Non-Accessibility Issues (NO)
I Canâ€™t Believe!!,I am truly baffled by the way this app not only promotes threats to the artist but also have personal information leaked that could harm not only them but their whole family. This app is full of toxic people that only want to harm others and this kind of app shouldnâ€™t exist. Itâ€™s giving bullies a platform to harass and giving them power to harm a beings life. Im truly disappointed by the lack of management this app has and should be shut down.,1,No,Non-Accessibility Issues (NO)
Unhealthy community,"The app is advertised as a community allowed for people to interact and share their love for artists. However, harassment, threats and slurs are used frequently in the community, when these are reported, no action from the developer is taken. The community is filled with hates and bullying on a daily basis. I really hope the app can be improved to create a better environment for interaction between fans and artists.",1,No,Non-Accessibility Issues (NO)
enforce community guidelines !!,"very slow and can barely handle large traffic, doesnâ€™t adhere to their own rules of safety. Chen from exo has been consistently harassed by supposed â€œfansâ€ who are leaking his and his familyâ€™s personal information and sending death threats and other horrible messages to him. the fact that this has been allowed to continue without their immediate removal does not make the experience of using this app pleasant",1,Yes,UI Accessibility Issues (UI)
I have problem hope to help me,"In Lysn app i was trying to purchase a bubble ! 
 When i paid the money I received notification that it said you have successfully... then at least for ten minutes the app was trying to purchasing my bubble but nothing happened hence I closed the app and when i get back to Lysn everything was normal . 
 What should i do ?",1,No,Non-Accessibility Issues (NO)
Malicious Comments,"I got this app as I thought it was a safe place for fans and the artists, but in the communities I have seen hateful comments it blows my mind. It doesnâ€™t seem that reporting them does anything and those people make my experience on this app tiresome and unpleasant. Until I see people following the rules and malicious comments removed this place is not comfortable and not a place I will spend my time.",1,No,Non-Accessibility Issues (NO)
Having error not receiving message from Artist!!!,"I extended my ticket late. My previous messages are deleted from server. Now I bought the ticket & extended the service. Cannot sent a single message to the artist.
 The app is saying There is a message that was not sent since it has been deleted from server. 
 The app is not allowing me to send new message.
 Just keep saying to wait the Artist reply.
 Please help.",1,No,Non-Accessibility Issues (NO)
Not clear,"Itâ€™s difficult to use, doesnâ€™t let you get back to your post easily and worst of all does nothing about the thousands of hate posts sent to artists. Antis send terrible pictures and words and they are never taken down. The app gives me a headache scrolling through hundreds of hateful posts. What is the point of a report button if nothing is done?",1,No,Non-Accessibility Issues (NO)
Horrible app,"This app while a great way to interact with your favorite artists has turned into an app that has become a place of cyber bullying, fanwars, and defamation. SMâ€™s inability to protect their artists clearly is shown here especially with the situation of Jongdae. The best thing to do is delete this app since SM can not fix the inadequate nature of this app to prevent personal information from being spread and prevent harassment such as death threats. FIX OR DELETE!!",1,No,Non-Accessibility Issues (NO)
Unacceptable.,"They know they see the hatred that people are putting into their app yet they arenâ€™t taking action. As soon as somebody wanna curse they make sure it doesnâ€™t happen, but if someone is sending obvious death threats and typing disrespectful things they shouldnâ€™t be saying to anyone, they allow it to slide. Thatâ€™s not cool, all these rules and guidelines but when they are broken no one does anything. ðŸ‘ŽðŸ½",1,No,Non-Accessibility Issues (NO)
Buggy,"So Iâ€™ve had this app for a minute and have never been able to have a profile picture or a bannerðŸ¥´. Every time I try, the app just freezes and crashes. I really donâ€™t understand why that is? I contacted support to no avail. Also, the character limit? TRASH. Please fix these issues or at least respond to my support email. Thanks...",1,Yes,UI Accessibility Issues (UI)
Can barely write anything,I just joined without reading the reviews now I have to keep this for a month too. You canâ€™t really communicate with the artist and it makes it hard to reply too. The English language and Korean language are very different so 30 characters arenâ€™t enough to let out a sentence.,1,Yes,Input and Control Issues (INPUT)
Targeted themselves an international platform while disrespecting different cultures,"Sure people has been noticed that Lysn targeted not only Korean fans but fans from many other countries. They have Ignored the tons of malicious content towards foreigners, women, and including Korean themselves! Besides that, The translation system is poorly designed, â€œcancel subscription buttonâ€ is hard to find.",1,No,Non-Accessibility Issues (NO)
Hateful app,This app is full of hateful people who attack artist daily on a platform they can see. We should know by now how HARMFUL this can be. The people who run the app refuse to do anything about it. So it gets a 1 Star from me. If u could give it a zero I would. Do something now before itâ€™s too late. Stop disregarding artist lives.,1,No,Non-Accessibility Issues (NO)
Can't use the app,The app keeps saying that I've rooted/jailbroke my phone then crashes. I'm using iPhone 15 pro max with iOS 17.2.1 stock. I haven't been able to check messages for a month and have lost access to all of my old messages from years ago. Please fix this.,1,Yes,UI Accessibility Issues (UI)
Death threats and violent images are now being posted on the app,"Chen of Exo has been receiving abuse and harassment on this app since January and absolutely NOTHING has been done. Recently death threats and violent images have been posted and have not been removed. I donâ€™t have words to express my disgust, the community rules say no abuse allowed, yet they have been ignoring it. DO NOT SUPPORT THIS APP.",1,No,Non-Accessibility Issues (NO)
Don't pay to be left on Delivered.,It's automatic messages sent to everyone after being left on delivery for a week a the leastâ€”unchecked bullying. Homophobic. You're not building a relationship with them. They only come on to promote their new stuff and leave.,1,No,Non-Accessibility Issues (NO)
Negative Community,"Lysn has been one of my favorite apps to use for a long time, but did to the recent increase in hate and disgusting posts, I can safely say that I no longer wish to keep paying for a service which seems to be incapable of upholding its community guidelines. If youâ€™d like to keep you members, I suggest fixing this.",1,No,Non-Accessibility Issues (NO)
hateful posts go undisturbed,"Nothing gets done to protect the artists from users that consistently post hateful messages; This makes the app users believe that LYSN condones and encourages this negative behavior. So far, nothing has been done to combat the widespread negativity on this app. 
 
 Would not recommend downloading!",1,No,Non-Accessibility Issues (NO)
â•,"the app doesnâ€™t have a solid way to get rid of malicious comments/users. instead of banning curse words from being used, why doesnâ€™t the LYSN team ban accounts that violate their rules? allowing your platform to have these people send hate to artists is disgusting.",1,Yes,UI Accessibility Issues (UI)
Korean New Year is not a thing,"Worst App ever. I totally understand that people from other countries celebrate Lunar New Year and I respect that. But donâ€™t call it Korean New Year because we all know that is not a thing! Go back to pre-school if you need to instead of embarrassing yourself in front of millions of people.
 Anyway, happy Chinese New Year :)",1,No,Non-Accessibility Issues (NO)
Conversations donâ€™t save,"There has been many instances where I would be in a groupchat and whatever and close the app, it deletes all the data in the groupchat and the 1-on-1 conversations. I sent in an inquiry and they answered it as if I was talking about a conversation with an artist in which I wasnâ€™t. Please fix this",1,No,Non-Accessibility Issues (NO)
Toxic and Abusive,"The application takes no action to protect the artists. The posts on it are vile and the same accounts keep being allowed to continue spewing such hateful nonsense. The artists sometimes interact directly with posts, so the lack of action towards hateful accounts is dangerous to their mental health. Leaving the communities like this is neglect at best.",1,No,Non-Accessibility Issues (NO)
App has no racism/violence censors!,"The admins do not censor any racism/hate speech/violence! It is full of disgusting language wishing death upon idols, inciting fan wars and racism and hate speeches that are unchecked. This app is supposed to be for fan/idol interaction but it is full of hatred and when I report it to admin they do nothing about it. It is not a safe space!",1,No,Non-Accessibility Issues (NO)
Translation,I know jisung told us to send lots of love but honestly itâ€™s not fair that we pay almost 4$ to have bad translations and character limit. Please accommodate character limit to other languages like English or any other romanized language.,1,No,Non-Accessibility Issues (NO)
iPhone app continues to crash after update,"Today, there was maintenance and an update. Yet the app is actually worse off. It keeps crashing as you as you open it. Please, fix this. Iâ€™m paying for this app.",1,No,Non-Accessibility Issues (NO)
Implement Strict Rules and Regulations,Since this is like a cafe/chat room rules and regulations must be implied well. Many of the users are violating its rules and regulations by posting harmful and inappropriate contents. Please do something to filter and manage these things for it brings negativity to everyone. Thank you!,1,No,Non-Accessibility Issues (NO)
Harassment & Hate,"This app is supporting bullying and targeted harassment against an artist even though itâ€™s where we are supposed to spread our love towards the artists, so I don't feel safe in this environment where death threats and hate against said artist are being thrown so carelessly. I therefore do not recommend.",1,No,Non-Accessibility Issues (NO)
TARGETED HARASSMENT,"This app allows cyberbullying, targeted harassment and death threats against their artist and members who have access. The company does not stick to their own terms and conditions established, allowing these types of heinous crimes to spread since January of 2020. I do not recommended downloading this app and they do nothing to protect their artist.",1,No,Non-Accessibility Issues (NO)
"Racism, Abuse, Harassment","Racism, Abuse, Harassment are seen on WayV community page while LYSN & SM entertainment let it all happen. This app was supposed to be a place to communicate with idols and fans, but it's been misused by some against Lucas of WayV. 
 
 Stick to your guidelines and rules. Something needs to be done about this.",1,No,Non-Accessibility Issues (NO)
STOP THE ABUSIVE COMMENTS!,"I downloaded the app and registered. But, after reading some of the comments, I unregistered and deleted the app within an hour. You knew about the hateful, degrading & threatening comments in the app against Chen and you didnâ€™t do anything about it. Your app is full of terrors! DO SOMETHING ABOUT IT! FIX IT!",1,No,Non-Accessibility Issues (NO)
HARASSMENT,There needs to be some type of filter because people are sending death threats to idols and there is nothing being done about it. Since this app claimed to not allow bullying maybe you should do something about it.. No hate.,1,Yes,UI Accessibility Issues (UI)
Doesnâ€™t take action against bullying,"The EXO Community board has been flooded with malicious comments targeting just one person - Chen- since January 13th. But Lysn has not done ANYTHING in response to this bullying, did not even remove hateful posts or suspend hateful users. This app is useless and irresponsible.",1,Yes,Input and Control Issues (INPUT)
Disgusted.,"Does nothing to protect the artists on there. Since January, a member from EXO named Chen has received various hate messages, threats and bashing from antis through this app and absolutely nothing has been done to prevent it. Iâ€™m disgusted with how this platform allows for this to continue happening.",1,No,Non-Accessibility Issues (NO)
take this app down until itâ€™s issues are resolved,"for 4 months now there have been constant death threats and harassment towards a man for getting married and having a child, despite the appâ€™s clear community guidelines that prohibit targeted harassment towards them, the appâ€™s developers have done nothing to filter out the horrible posts being sent. if this app can be taken down, maybe theyâ€™ll actually try to do something about it",1,No,Non-Accessibility Issues (NO)
Toxic,Thereâ€™s so much toxicity in this app by people who hate on some of the members in these groups and this app doesnâ€™t take actions on deleting them. I uninstalled it 10 mins after being in it.,1,No,Non-Accessibility Issues (NO)
filled with hate comments,"the comment section for the exol community is constantly being filled with malicious comments against an artist, going against the rules clearly stated in the app but yet there has been no consequences. these people have been allowed to spread their hate which the artistsâ€™ can easily access without fear of losing access to their accounts. worst fan club app ever. do your job",1,No,Non-Accessibility Issues (NO)
Racism and abuse,"Racism, abuse, harassment are seen on WayV community page while LYSN and SM entertainment let it all happen. This app was supposed to be a place to communicate with idols and fans, but its been misused by some against Lucas of WayV. Itâ€™s seen Humanity has gone. Shame on you!",1,No,Non-Accessibility Issues (NO)
your actions are damp,"There is no real reporting System the app is full of heat and you canâ€™t get an account that easy , are you taking about an app for fans and love?? TELL ME WRER IS THAT IN YOUR APP.. please work in reporting bad words amd bad comments.
 
 Full of Negative comments .",1,No,Non-Accessibility Issues (NO)
Learn to respect your customers!,Deleted this app and unsubscribed as you donâ€™t know how to respect Chinese fans and our tradition. I want to repeat 3000 times itâ€™s Chinese New Year which has been around for thousands years. No respect = no business. Thatâ€™s itðŸ‘‹,1,No,Non-Accessibility Issues (NO)
Protect Your Artists,This app has issues and constantly fails to load. It also creates an environment where the artists can be harassed and slandered nonstop. This app and the company that runs it needs to do a better job of cleaning up anti accounts.,1,No,Non-Accessibility Issues (NO)
Horrible,"STOP letting people cyber bully idols!!!! You have to realize how this app is a breeding ground for a ridiculous amount of hate posts, but you donâ€™t seem to be doing anything about it.",1,No,Non-Accessibility Issues (NO)
Slow,"First off the app is slow and hard to understand second, they donâ€™t do anything to stop hate, discrimination and harassment, and they allow it, very disappointing, I hope they change
 Here with EXOLs! Letâ€™s protect Chen! And exo!",1,No,Non-Accessibility Issues (NO)
Bad app,I use this app to communicate with my idol but turns out this app is one of the place people use to bully and harass the idol. SM entertainment and LYSN app are doing nothing at all about all those bullying for about 6 months .,1,No,Non-Accessibility Issues (NO)
Please allow to send more characters,"I understand the 30 characters limit might make sense for korean or chinese, but 30 characters for English too ???? Like how can I possibly say anything with in 30 characters in English :) IMPROVE PLEASE.",1,Yes,UI Accessibility Issues (UI)
Official app for cyberbullying,"There's so many haters in this app, hate comments/ death threats/ harassment..targeting one idol and nothing changed for two months. I don't feel safe in this environment. I therefore do not recommend",1,No,Non-Accessibility Issues (NO)
Bad app,"There's a lot of bullying and death threats sent to a member of EXO on this app and even when you report the accounts, Lysn doesn't do anything even tho they have that in their rule book such accounts will be dealt with.",1,No,Non-Accessibility Issues (NO)
a toxic and nasty community,Yâ€™all donâ€™t actually care about what happens through the communities. People have been using this platform to send hateful messages and no one has done anything despite all the reporting.,1,No,Non-Accessibility Issues (NO)
Allows bullying and harassment,"LYSN has ignored bullying and harassment commenting to the artists that use this app to interact with fans, for example, EXOâ€™s CHEN has been receiving bullying and harassing comments through the LYSN app since January, and nothing has been taken into account.",1,No,Non-Accessibility Issues (NO)
App stopped working,It wonâ€™t even let me get into it anymore and e re downloaded and restarted my phone and it still wonâ€™t let me on.,1,Yes,UI Accessibility Issues (UI)
Horrible,"Lysn will say they do not tolerate harassment or bullying but the times Iâ€™ve seen offensive slurs is crazy. During the Itaewon situation with Jaehyun, all I saw was constant harassment towards NCT and Jaehyun. I could easily say the same with EXOâ€™s Jongdae and the announcement of his child.",1,No,Non-Accessibility Issues (NO)
COMPLETELY BAD,"just a platform to spread hate and malicious comments about innocent people. Although it's written in the guidelines that spreading hate comments is against the rules, lysn all doesn't take action. If i could rate it -1 star i would.",1,No,Non-Accessibility Issues (NO)
I kinda want it banned :/,"Of course, thereâ€™s too much hate towards our idols. I think that they need to up the protection or sum. Especially with the rumors. 2 ways I believe of it. Get rid of it or better protection.",1,No,Non-Accessibility Issues (NO)
Poor,"This app has been an active host of antis, hate comments, and as well as leaking personal information. The developers of the app have not taken any action into removing spam/hateful accounts .",1,No,Non-Accessibility Issues (NO)
Tolerant of bullying!,"Lysn has banned the word ""gay"" from being used but won't ban the hateful messages sent to idols and other fans every single day. They allow and encourage bullying.",1,No,Non-Accessibility Issues (NO)
"Content title : Racism, Abuse, Harrassment","Racism, Abuse, Harassment are seen on WayV community page while LYSN & SM entertainment let it all happen. This app was supposed to be a place to communicate with idols and fans, but it's been misused by some against Lucas of WayV.",1,No,Non-Accessibility Issues (NO)
Does not protect the artist,"Lysn claims it will protect their artists from harassment and from their private bubble content being leaked, and yet reports of leaks and harassment have been ignored for months to the detriment of the artists. Please stop ignoring reports!",1,No,Non-Accessibility Issues (NO)
Can't follow their own guidelines,A lot of people have been targeting Kim Jongdae on this app and said very hateful words. The app didn't even care about it even though they have their own guidelines. Worst app ever,1,No,Non-Accessibility Issues (NO)
Works very slowly,It doesnâ€™t work instantly and always gets hang. I have to shut down and open it many times why it does like that *FIX IT* ðŸ˜¡ðŸ˜¡ðŸ˜¡,1,Yes,UI Accessibility Issues (UI)
Administrators of Lysn App leaves much to be desired,Idols are receiving death threats and harassment through the Lysn app. This behavior is against posted Lysn policy. The stated consequences for behavior like this is not being enforced. Please protect the artists that use this app to communicate with their fans.,1,No,Non-Accessibility Issues (NO)
Fails to respect privacy,This app fails to respect the privacy of members on it. Constant malicious hate spread and illegal doxxing of person info. Does not keep up with terms of service and needs to be better moderated.,1,No,Non-Accessibility Issues (NO)
Trust Broken,It WAS a great place for fans to interact with each other & their artists. Now itâ€™s a breeding ground for bullies and haters with NO response or sanctions from SM or the App itself. Why harassment goes unpunished is completely beyond me.,1,No,Non-Accessibility Issues (NO)
pls help,I want to get notifs from the app but iâ€™ve tried everything and itâ€™s still not working,1,Yes,UI Accessibility Issues (UI)
"Racism, Abuse, Harrassment","Racism, Abuse, Harassment are seen on WayV community page while LYSN & SM entertainment let it all happen. This app was supposed to be a place to communicate with idols and fans, but it's been misused by some against Lucas of WayV.",1,No,Non-Accessibility Issues (NO)
"Racism, Abuse, Harassment","Racism, Abuse, Harassment are seen on WayV community page while LYSN & SM entertainment let it all happen. This app was supposed to be a place to communicate with idols and fans, but it's been misused by some against Lucas of WayV",1,No,Non-Accessibility Issues (NO)
"Racism, Abuse, Harrassment","Racism, Abuse, Harassment are seen on WayV community page while LYSN & SM entertainment let it all happen. This is so disappointing especially since no actions are being taken.",1,No,Non-Accessibility Issues (NO)
Canâ€™t screenshot,"I really donâ€™t understand why we can screenshot our conversations with the idols, I can guarantee you your idols DO NOT CARE we can screenshot our chats.",1,No,Non-Accessibility Issues (NO)
Guidelines not being followed,There are death threats and malicious comments to an artist which doesnâ€™t uphold to the guidelines but the app is not doing anything about it.,1,No,Non-Accessibility Issues (NO)
To many antis,"If Lysn is a fan cafe, why don't you control malicious comments? Is that too much? There are countles malicious comments about artist in the same space and nothing is going on.",1,No,Non-Accessibility Issues (NO)
The app is not safe for artists,This app is disgusting. There are death threats being posted twords artists and personal information from artists families being shared on this app by antifans and staff are not doing anything to prevent this. PROTECT CHEN.,1,No,Non-Accessibility Issues (NO)
No chat moderation,"Not only has this app allowed people to bully the artist who are supported on this app but also the foreign fans. If this is a fancafe, there needs to be better monitoring.",1,No,Non-Accessibility Issues (NO)
Freaking Lysn,What are you doing using so-called â€œKorean new yearâ€? Did you have at least little respect to culture?,1,No,Non-Accessibility Issues (NO)
Haters use this app for heating on idols,Stop this app idol gets hate from it cuz of haters they get heat comments and there information get leaked and personal staff if you like your idol stop this app and haters,1,No,Non-Accessibility Issues (NO)
They donâ€™t care about english speakers,Not enough characters for english speakers. My first sentence in this review is probably close to rhe limit. Not fair to englsih speakers.,1,Yes,UI Accessibility Issues (UI)
Monitor comments section!,So many artists are suffering because of negative comments. Lysn doesnt monitor it!!!!!!! This app is too toxic for artists. Consider their mental being too!,1,Yes,UI Accessibility Issues (UI)
This app is terrible!!!!,This app is supporting bullying and targeted harassment and so I don't feel safe in this environment. I therefore do not recommend.,1,No,Non-Accessibility Issues (NO)
Terrible,This app is supporting bullying and targeted harassment and so I don't feel safe in this environment. I therefore do not recommend.,1,No,Non-Accessibility Issues (NO)
ACE membership?,"How do you become an ACE member? They donâ€™t provide clear instructions on how to and itâ€™s very annoying. Other than that, itâ€™s pretty ok.",1,No,Non-Accessibility Issues (NO)
.,I don't see a point of this app if it doesn't take responsibility of the crazy hateful fans who promote violence and hate on artists .,1,No,Non-Accessibility Issues (NO)
Does not follow their own rules,This app is supporting bullying and targeted harassment and so I don't feel safe in this environment. I therefore do not recommend.,1,No,Non-Accessibility Issues (NO)
Donâ€™t follow their own guidelines,Ignores their own guidelines allowing their artists to be harassed and private information spread,1,No,Non-Accessibility Issues (NO)
They deleted all of my anni days 150 to 1ðŸ¥²so disappointed,How could you deleted all of my anni days into 1.This is so not fair .What a capitalism ðŸ˜ƒðŸ™‚,1,Yes,UI Accessibility Issues (UI)
It should be removed,"Really nonsense app!! There is no monitoring
 of fan comments and activities, and they can
 spread hatred freely.",1,No,Non-Accessibility Issues (NO)
It should be removed,"Really nonsense app!! There is no monitoring of fan comments and activities, and they can spread hatred freely.",1,No,Non-Accessibility Issues (NO)
Promotes negativity.,This app should have an automatic ban button for antis. This app encourages negativity and could affect an idolâ€™s mental health as they are also capable of reading these hate comments.,1,No,Non-Accessibility Issues (NO)
EXO is 9,Itâ€™s so confusing it lags a lot and it doesnâ€™t work at all. A useless app. I hate it,1,No,Non-Accessibility Issues (NO)
Crushed app,I canâ€™t enter the lysn app after i updated it. It keeps crushing,1,No,Non-Accessibility Issues (NO)
Terrible,"This app does nothing on stopping malicious comments directed to artists, not even fallowing their own rules",1,No,Non-Accessibility Issues (NO)
SM PROTECT YOUR ARTISTS,this app is supporting bullying and targeted harassment towards exos jongdae and i no longer feel safe in this environment. i therefore do not recommend this application.,1,No,Non-Accessibility Issues (NO)
Leaking Private Info,yâ€™all letting people leak peopleâ€™s private info on this app and do nothing about it?,1,No,Non-Accessibility Issues (NO)
No regulations whatsoever,This app does not look over its users and the abusive things they say.,1,No,Non-Accessibility Issues (NO)
Bullying,This app is a haven for bullying and inappropriate comments by users.,1,No,Non-Accessibility Issues (NO)
Bullying,This is an unhealthy environment that allows bullying of artists name Exoâ€™s Chen. Please fix your app and his company needs to protect him,1,No,Non-Accessibility Issues (NO)
Worst app ever,Prioritize protecting your artists instead of milking their fans for every penny they have,1,No,Non-Accessibility Issues (NO)
